ID,Full_name,Abbreviation,Nickname,City,State,Year_founded
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Atlanta,1610612737
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1610612738
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1610612739
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,1610612740
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1610612741
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1610612742
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1610612743
1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,1610612744
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1610612745
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1610612746
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1610612747
1610612748,Miami Heat,MIA,Heat,Miami,Florida,1610612748
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1610612749
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1610612750
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1610612751
1610612752,New York Knicks,NYK,Knicks,New York,New York,1610612752
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1610612753
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1610612754
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1610612755
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1610612756
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1610612757
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1610612758
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1610612759
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1610612760
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1610612761
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1610612762
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1610612763
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1610612764
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1610612765
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1610612766
